trade_id,entry_time,direction,setup,r,node72,node48
2023-11-20 14:30:00+00:00|LONG|TBX0 (a) or TBX1|2030.55|29.06,2023-11-20 14:30:00+00:00,LONG,TBX0 (a) or TBX1,-0.35,False,False
2023-11-22 13:00:00+00:00|LONG|TBX0 (a)|2030.98|17.28,2023-11-22 13:00:00+00:00,LONG,TBX0 (a),2.8,False,False
2023-11-23 08:30:00+00:00|LONG|TBX0 (a)|2078.0328|22.8,2023-11-23 08:30:00+00:00,LONG,TBX0 (a),-0.23,False,False
2023-11-23 23:30:00+00:00|SHORT|TBX0 (a) or TBX1|2062.27|20.39,2023-11-23 23:30:00+00:00,SHORT,TBX0 (a) or TBX1,-0.64,False,False
2023-11-24 03:30:00+00:00|SHORT|TBX0 (a) or TBX1|2066.69|9.74,2023-11-24 03:30:00+00:00,SHORT,TBX0 (a) or TBX1,-0.62,False,False
2023-11-24 07:15:00+00:00|SHORT|TBX0 (a) or TBX1|2066.27|11.98,2023-11-24 07:15:00+00:00,SHORT,TBX0 (a) or TBX1,-0.8,False,False
2023-11-26 11:00:00+00:00|SHORT|TBX0 (a) or TBX1|2081.8515|12.22,2023-11-26 11:00:00+00:00,SHORT,TBX0 (a) or TBX1,-0.6,False,False
2023-11-26 13:15:00+00:00|SHORT|TBX0 (a) or TBX1|2076.5551|15.02,2023-11-26 13:15:00+00:00,SHORT,TBX0 (a) or TBX1,0.54,True,False
2023-11-26 19:00:00+00:00|LONG|TBX0|2056.63|10.36,2023-11-26 19:00:00+00:00,LONG,TBX0,0.74,False,False
2023-11-27 10:15:00+00:00|SHORT|TBX7B|2035.8332|15.18,2023-11-27 10:15:00+00:00,SHORT,TBX7B,0.59,False,False
2023-11-27 22:00:00+00:00|LONG|TBX0|2020.23|12.37,2023-11-27 22:00:00+00:00,LONG,TBX0,-0.22,False,False
2023-11-30 11:00:00+00:00|LONG|TBX0|2045.23|18.31,2023-11-30 11:00:00+00:00,LONG,TBX0,-0.72,False,False
2023-12-04 12:45:00+00:00|LONG|TBX7B|2254.5915|27.9,2023-12-04 12:45:00+00:00,LONG,TBX7B,-0.64,False,False
2023-12-04 14:00:00+00:00|SHORT|TBX0|2225.61|17.86,2023-12-04 14:00:00+00:00,SHORT,TBX0,-0.82,False,False
2023-12-04 22:45:00+00:00|SHORT|TBX0|2220.4409|32.21,2023-12-04 22:45:00+00:00,SHORT,TBX0,-0.95,False,False
2023-12-05 02:00:00+00:00|SHORT|TBX0|2227.5308|25.85,2023-12-05 02:00:00+00:00,SHORT,TBX0,0.13,False,False
2023-12-10 20:00:00+00:00|LONG|TBX7A|2378.48|14.24,2023-12-10 20:00:00+00:00,LONG,TBX7A,-0.97,False,False
2023-12-13 13:00:00+00:00|LONG|TBX0|2192.15|12.47,2023-12-13 13:00:00+00:00,LONG,TBX0,2.77,False,False
2023-12-14 05:45:00+00:00|LONG|TBX0|2262.44|15.16,2023-12-14 05:45:00+00:00,LONG,TBX0,2.83,False,False
2023-12-14 22:45:00+00:00|LONG|TBX0|2312.98|25.28,2023-12-14 22:45:00+00:00,LONG,TBX0,-0.79,False,False
2023-12-15 12:00:00+00:00|SHORT|TBX0|2268.7969|14.18,2023-12-15 12:00:00+00:00,SHORT,TBX0,2.48,False,False
2023-12-15 20:00:00+00:00|LONG|TBX0|2251.23|12.14,2023-12-15 20:00:00+00:00,LONG,TBX0,-0.97,False,False
2023-12-17 23:00:00+00:00|SHORT|TBX7B|2197.93|19.25,2023-12-17 23:00:00+00:00,SHORT,TBX7B,2.06,False,False
2023-12-18 14:00:00+00:00|LONG|TBX0|2170.32|20.84,2023-12-18 14:00:00+00:00,LONG,TBX0,3.26,False,False
2023-12-20 11:30:00+00:00|SHORT|TBX0 (a)|2205.7711|16.9,2023-12-20 11:30:00+00:00,SHORT,TBX0 (a),-0.89,False,False
2023-12-20 13:00:00+00:00|LONG|TBX7A|2249.62|23.6,2023-12-20 13:00:00+00:00,LONG,TBX7A,-0.9,False,False
2023-12-21 04:30:00+00:00|LONG|TBX7A|2206.988|18.48,2023-12-21 04:30:00+00:00,LONG,TBX7A,1.7,False,False
2023-12-22 04:45:00+00:00|LONG|TBX7A|2262.8456|32.34,2023-12-22 04:45:00+00:00,LONG,TBX7A,-0.56,False,False
2023-12-27 13:00:00+00:00|LONG|TBX0 (a)|2295.21|19.54,2023-12-27 13:00:00+00:00,LONG,TBX0 (a),5.26,False,False
2023-12-28 10:30:00+00:00|LONG|TBX0 (a)|2404.6469|24.94,2023-12-28 10:30:00+00:00,LONG,TBX0 (a),-0.39,False,False
2023-12-28 13:15:00+00:00|LONG|TBX0 (a)|2406.6631|32.3,2023-12-28 13:15:00+00:00,LONG,TBX0 (a),-0.92,False,False
2024-01-01 11:00:00+00:00|LONG|TBX7A|2306.72|9.0,2024-01-01 11:00:00+00:00,LONG,TBX7A,-1.0,False,False
2024-01-04 07:45:00+00:00|SHORT|TBX0 (a) or TBX1|2222.853|21.08,2024-01-04 07:45:00+00:00,SHORT,TBX0 (a) or TBX1,-0.38,False,False
2024-01-04 22:45:00+00:00|SHORT|TBX0 (a) or TBX1|2263.74|21.88,2024-01-04 22:45:00+00:00,SHORT,TBX0 (a) or TBX1,0.39,False,False
2024-01-05 20:00:00+00:00|LONG|TBX7A|2248.24|9.29,2024-01-05 20:00:00+00:00,LONG,TBX7A,-1.0,False,False
2024-01-08 06:00:00+00:00|LONG|TBX0|2212.84|20.4,2024-01-08 06:00:00+00:00,LONG,TBX0,5.41,False,False
2024-01-09 08:00:00+00:00|SHORT|TBX0|2291.34|25.54,2024-01-09 08:00:00+00:00,SHORT,TBX0,0.69,False,False
2024-01-09 19:30:00+00:00|SHORT|TBX0|2262.4603|12.29,2024-01-09 19:30:00+00:00,SHORT,TBX0,-2.0,False,False
2024-01-09 22:00:00+00:00|LONG|TBX7B|2341.19|28.85,2024-01-09 22:00:00+00:00,LONG,TBX7B,0.82,False,False
2024-01-10 15:00:00+00:00|LONG|TBX7B|2418.7479|52.85,2024-01-10 15:00:00+00:00,LONG,TBX7B,1.85,False,False
2024-01-12 17:00:00+00:00|LONG|TBX7A|2604.52|9.0,2024-01-12 17:00:00+00:00,LONG,TBX7A,-1.25,False,False
2024-01-12 19:00:00+00:00|SHORT|TBX0|2585.8|47.46,2024-01-12 19:00:00+00:00,SHORT,TBX0,1.92,False,False
2024-01-14 22:30:00+00:00|SHORT|TBX0|2506.407|22.7,2024-01-14 22:30:00+00:00,SHORT,TBX0,-0.13,False,False
2024-01-16 02:15:00+00:00|LONG|TBX0 (a) or TBX1|2523.49|20.7,2024-01-16 02:15:00+00:00,LONG,TBX0 (a) or TBX1,0.05,False,False
2024-01-16 08:15:00+00:00|LONG|TBX0 (a) or TBX1|2534.9877|10.66,2024-01-16 08:15:00+00:00,LONG,TBX0 (a) or TBX1,-0.81,False,False
2024-01-16 12:45:00+00:00|LONG|TBX0 (a) or TBX1|2546.7733|21.83,2024-01-16 12:45:00+00:00,LONG,TBX0 (a) or TBX1,-0.7,False,False
2024-01-16 13:00:00+00:00|SHORT|TBX0|2525.57|24.16,2024-01-16 13:00:00+00:00,SHORT,TBX0,-1.0,False,False
2024-01-16 15:00:00+00:00|LONG|TBX7A|2559.43|16.17,2024-01-16 15:00:00+00:00,LONG,TBX7A,1.08,False,False
2024-01-18 10:30:00+00:00|SHORT|TBX0|2534.9762|11.62,2024-01-18 10:30:00+00:00,SHORT,TBX0,1.36,False,False
2024-01-18 16:15:00+00:00|SHORT|TBX0|2512.5942|20.86,2024-01-18 16:15:00+00:00,SHORT,TBX0,3.15,False,False
2024-01-19 02:30:00+00:00|SHORT|TBX0|2453.5149|14.84,2024-01-19 02:30:00+00:00,SHORT,TBX0,-0.92,False,False
2024-01-19 08:00:00+00:00|LONG|TBX0|2473.82|18.14,2024-01-19 08:00:00+00:00,LONG,TBX0,0.13,False,False
2024-01-19 15:00:00+00:00|SHORT|TBX7B|2463.66|14.77,2024-01-19 15:00:00+00:00,SHORT,TBX7B,-0.16,False,False
2024-01-19 18:00:00+00:00|LONG|TBX0|2496.42|43.29,2024-01-19 18:00:00+00:00,LONG,TBX0,-0.46,False,False
2024-01-21 13:30:00+00:00|LONG|TBX0|2479.3042|8.69,2024-01-21 13:30:00+00:00,LONG,TBX0,-1.58,False,False
2024-01-22 08:00:00+00:00|SHORT|TBX7B|2414.0957|21.51,2024-01-22 08:00:00+00:00,SHORT,TBX7B,1.66,False,False
2024-01-23 07:15:00+00:00|SHORT|TBX7B|2338.6158|10.51,2024-01-23 07:15:00+00:00,SHORT,TBX7B,9.98,False,False
2024-01-23 22:00:00+00:00|LONG|TBX0|2225.99|26.21,2024-01-23 22:00:00+00:00,LONG,TBX0,-0.19,False,False
2024-01-24 05:15:00+00:00|LONG|TBX0|2226.01|19.18,2024-01-24 05:15:00+00:00,LONG,TBX0,0.51,False,False
2024-01-24 14:30:00+00:00|LONG|TBX0|2244.6184|24.57,2024-01-24 14:30:00+00:00,LONG,TBX0,-0.97,False,False
2024-01-25 01:45:00+00:00|SHORT|TBX7A|2216.7733|21.75,2024-01-25 01:45:00+00:00,SHORT,TBX7A,-0.18,False,False
2024-01-25 12:00:00+00:00|SHORT|TBX7A|2224.139|16.53,2024-01-25 12:00:00+00:00,SHORT,TBX7A,0.48,False,False
2024-01-25 18:00:00+00:00|LONG|TBX0|2210.65|10.38,2024-01-25 18:00:00+00:00,LONG,TBX0,0.09,False,False
2024-01-29 03:00:00+00:00|LONG|TBX7A|2270.98|9.0,2024-01-29 03:00:00+00:00,LONG,TBX7A,-0.97,False,False
2024-01-29 20:00:00+00:00|LONG|TBX0 (a)|2302.08|13.38,2024-01-29 20:00:00+00:00,LONG,TBX0 (a),0.58,False,False
2024-01-30 07:30:00+00:00|LONG|TBX0 (a)|2312.5345|10.46,2024-01-30 07:30:00+00:00,LONG,TBX0 (a),-0.52,False,False
2024-01-30 14:15:00+00:00|LONG|TBX0 (a)|2314.8472|13.69,2024-01-30 14:15:00+00:00,LONG,TBX0 (a),2.96,False,False
2024-01-30 23:00:00+00:00|SHORT|TBX0|2341.95|27.95,2024-01-30 23:00:00+00:00,SHORT,TBX0,0.02,False,False
2024-02-01 11:45:00+00:00|SHORT|TBX7B|2265.62|9.02,2024-02-01 11:45:00+00:00,SHORT,TBX7B,-1.56,False,False
2024-02-01 13:00:00+00:00|SHORT|TBX7B|2264.5086|11.03,2024-02-01 13:00:00+00:00,SHORT,TBX7B,-2.33,False,False
2024-02-01 16:15:00+00:00|SHORT|TBX7B|2279.033|27.05,2024-02-01 16:15:00+00:00,SHORT,TBX7B,-0.73,False,False
2024-02-02 13:30:00+00:00|SHORT|TBX7B|2309.4493|13.2,2024-02-02 13:30:00+00:00,SHORT,TBX7B,-0.02,False,False
