label,removed_n,removed_sum_r,removed_wr,removed_pf,removed_tail_gt5,removed_tail_r,base_sum_r,keep_sum_r,delta_sum_r,base_wr,keep_wr,delta_wr,base_pf,keep_pf,delta_pf,base_mdd,keep_mdd,delta_mdd,improves_total_r,improves_pf,no_tail_loss,family
dist_inside_24h|high|q0.9,46,12.659999999999998,39.130434782608695,1.6455889852116259,1,6.12,1114.0300000000002,1101.37,-12.66000000000031,39.289940828402365,39.2991239048811,0.00918307647873462,4.181579323147222,4.332032431778303,0.15045310863108075,-14.680000000000518,-14.680000000000518,0.0,False,True,False,quantile
RETAIL_CHASE>=0.04,30,31.610000000000003,36.666666666666664,3.3731231231231233,3,29.299999999999997,1114.0300000000002,1082.42,-31.610000000000127,39.289940828402365,39.38650306748466,0.09656223908229578,4.181579323147222,4.213549861948163,0.03197053880094103,-14.680000000000518,-13.480000000000473,1.2000000000000455,False,True,False,oi
2fails_24h_near_1.5R,52,33.51999999999999,34.61538461538461,2.4721124286341674,4,32.35,1114.0300000000002,1080.51,-33.52000000000021,39.289940828402365,39.59646910466583,0.3065282762634638,4.181579323147222,4.300476510477121,0.11889718732989873,-14.680000000000518,-10.630000000000024,4.0500000000004945,False,True,False,series
dist_inside_24h|high|q0.8,109,40.289999999999985,34.862385321100916,1.8476751525352404,6,43.64,1114.0300000000002,1073.7400000000002,-40.289999999999964,39.289940828402365,39.94565217391305,0.6557113455106816,4.181579323147222,4.54814618994118,0.3665668667939581,-14.680000000000518,-13.680000000000518,1.0,False,True,False,quantile
trend_eff_24h|high|q0.9,70,51.52,40.0,2.8185668902223786,3,49.04,1114.0300000000002,1062.51,-51.52000000000021,39.289940828402365,39.225806451612904,-0.0641343767894611,4.181579323147222,4.301566092846934,0.11998676969971189,-14.680000000000518,-15.000000000000455,-0.31999999999993634,False,True,False,quantile
DEAD_OI<=0.15,13,65.49,38.46153846153847,8.695652173913041,1,70.0,1114.0300000000002,1048.54,-65.49000000000024,39.289940828402365,39.30288461538461,0.012943786982248184,4.181579323147222,4.069137103383679,-0.11244221976354307,-14.680000000000518,-15.000000000000455,-0.31999999999993634,False,False,False,oi
DEAD_OI<=0.2,35,68.3,37.142857142857146,4.783933518005539,2,76.12,1114.0300000000002,1045.73,-68.30000000000018,39.289940828402365,39.382716049382715,0.09277522098035007,4.181579323147222,4.148840710629328,-0.03273861251789434,-14.680000000000518,-15.000000000000455,-0.31999999999993634,False,False,False,oi
mom_1h|low|q0.1,86,116.18,37.2093023255814,4.046944662995017,10,122.61999999999999,1114.0300000000002,997.8500000000001,-116.18000000000006,39.289940828402365,39.52569169960474,0.23575087120237725,4.181579323147222,4.198032177424524,0.016452854277302364,-14.680000000000518,-14.139999999999986,0.540000000000532,False,True,False,quantile
RETAIL_CHASE>=0.03,65,118.26999999999998,40.0,5.188031161473088,6,114.82,1114.0300000000002,995.76,-118.27000000000021,39.289940828402365,39.23076923076923,-0.05917159763313151,4.181579323147222,4.093286943555653,-0.08829237959156888,-14.680000000000518,-10.800000000000068,3.88000000000045,False,False,False,oi
DEAD_OI<=0.25,77,123.12,35.064935064935064,4.296385542168674,5,135.97000000000003,1114.0300000000002,990.91,-123.12000000000023,39.289940828402365,39.71354166666667,0.4236008382643064,4.181579323147222,4.167870843989769,-0.013708479157452658,-14.680000000000518,-15.000000000000114,-0.3199999999995953,False,False,False,oi
RETAIL_CHASE>=0.025,80,126.72,41.25,4.868131868131868,7,124.35,1114.0300000000002,987.31,-126.72000000000025,39.289940828402365,39.08496732026144,-0.20497350814092385,4.181579323147222,4.110715523488453,-0.07086379965876866,-14.680000000000518,-9.520000000000095,5.160000000000423,False,False,False,oi
stop_atr low15 ∩ taker_imb low25,37,148.58,35.13513513513514,7.530989010989011,8,160.19,1114.0300000000002,965.45,-148.58000000000015,39.289940828402365,39.48019801980198,0.19025719139961694,4.181579323147222,3.948839340256567,-0.23273998289065512,-14.680000000000518,-15.540000000000077,-0.8599999999995589,False,False,False,intersection
pos_24h_dir|high|q0.9,72,154.1,38.88888888888889,5.673946011525628,10,159.89,1114.0300000000002,959.9300000000001,-154.10000000000014,39.289940828402365,39.32729624838293,0.03735541998056391,4.181579323147222,4.0264518569897225,-0.1551274661574995,-14.680000000000518,-11.779999999999973,2.9000000000005457,False,False,False,quantile
RETAIL_CHASE>=0.02,120,160.9,41.66666666666667,4.293082275890298,11,152.71,1114.0300000000002,953.1299999999999,-160.90000000000032,39.289940828402365,38.89655172413793,-0.3933891042644362,4.181579323147222,4.163496963058847,-0.018082360088374827,-14.680000000000518,-9.369999999999976,5.310000000000542,False,False,False,oi
RETAIL_CHASE>=0.015,155,180.65000000000003,44.516129032258064,3.9551774905938157,11,152.71,1114.0300000000002,933.3800000000001,-180.6500000000001,39.289940828402365,38.11594202898551,-1.1739987994168573,4.181579323147222,4.229465088921183,0.04788576577396064,-14.680000000000518,-8.970000000000027,5.710000000000491,False,True,False,oi
