label,removed_n,removed_sum_r,removed_wr,removed_pf,removed_tail_gt5,removed_tail_r,base_sum_r,keep_sum_r,delta_sum_r,base_wr,keep_wr,delta_wr,base_pf,keep_pf,delta_pf,base_mdd,keep_mdd,delta_mdd,improves_total_r,improves_pf,no_tail_loss
WF stop_pct low q=0.05,61,308.03999999999996,29.508196721311474,9.609278926774733,7,316.56,1114.0300000000002,805.99,-308.0400000000002,39.289940828402365,40.05102040816326,0.7610795797608958,4.181579323147222,3.5638260648280684,-0.6177532583191536,-14.680000000000518,-17.850000000000023,-3.1699999999995043,False,False,False
WF stop_atr low q=0.05,37,340.51,45.94594594594595,19.102604997341842,10,349.41999999999996,1114.0300000000002,773.52,-340.5100000000002,39.289940828402365,38.98514851485149,-0.30479231355087677,4.181579323147222,3.3345204321844633,-0.8470588909627588,-14.680000000000518,-14.470000000000027,0.21000000000049113,False,False,False
WF stop_atr low q=0.1,84,403.9700000000001,46.42857142857143,11.04900497512438,17,410.11,1114.0300000000002,710.06,-403.97000000000025,39.289940828402365,38.501971090670175,-0.7879697377321904,4.181579323147222,3.2908856267139863,-0.8906936964332357,-14.680000000000518,-19.579999999999927,-4.899999999999409,False,False,False
WF stop_24h low q=0.05,47,268.0299999999999,36.17021276595745,10.624057450628365,7,276.39000000000004,1114.0300000000002,846.0000000000001,-268.0300000000001,39.289940828402365,39.473684210526315,0.18374338212395003,4.181579323147222,3.6248836487744343,-0.5566956743727878,-14.680000000000518,-14.680000000000064,4.547473508864641e-13,False,False,False
WF mom_1h low q=0.25,225,306.73,39.55555555555556,4.071600240336471,18,306.21000000000004,1114.0300000000002,807.3,-306.73000000000025,39.289940828402365,39.19354838709677,-0.09639244130559632,4.181579323147222,4.225458468176916,0.04387914502969359,-14.680000000000518,-11.499999999999986,3.1800000000005326,False,True,False
WF vol_comp_4h_72h low q=0.2,190,306.33,40.526315789473685,4.588262855804146,17,303.09000000000003,1114.0300000000002,807.7,-306.33000000000015,39.289940828402365,38.93129770992366,-0.3586431184787031,4.181579323147222,4.050456983155828,-0.13112233999139367,-14.680000000000518,-16.00999999999999,-1.3299999999994725,False,False,False
WF stop_atr low10 ∩ mom_1h low25,23,74.15000000000002,47.82608695652174,6.989499192245558,4,72.13,1114.0300000000002,1039.88,-74.15000000000009,39.289940828402365,39.05109489051095,-0.23884593789141206,4.181579323147222,4.078662995529502,-0.10291632761772007,-14.680000000000518,-15.330000000000382,-0.6499999999998636,False,False,False
