stop_fate,n,sum_r,mean_r,med_beyond,med_cf,pct_cf1,pct_cf2,pct_wick,med_bars
ambiguous_stop,148,-127.12,-0.8589189189189189,0.13775729273854975,0.5650501650087537,0.25,0.16216216216216217,0.6621621621621622,5.0
hopeless,164,-137.19,-0.8365243902439025,0.6948963011582708,0.49033191997662257,0.38414634146341464,0.25609756097560976,0.12195121951219512,2.0
stop_hunt,95,-81.95,-0.8626315789473684,0.09929577982526316,2.643333333333329,1.0,0.6526315789473685,0.8421052631578947,6.0
