label,removed_n,removed_sum_r,removed_wr,removed_pf,removed_tail_gt5,removed_tail_r,base_sum_r,keep_sum_r,delta_sum_r,base_wr,keep_wr,delta_wr,base_pf,keep_pf,delta_pf,base_mdd,keep_mdd,delta_mdd,improves_total_r,improves_pf,no_tail_loss
NODE_EXHAUSTION OOS,19,-6.38,26.31578947368421,0.3981132075471699,0,0.0,1114.0300000000002,1120.4099999999999,6.379999999999654,39.289940828402365,39.58837772397095,0.2984368955685852,4.181579323147222,4.299690767191872,0.1181114440446498,-14.680000000000518,-12.360000000000355,2.3200000000001637,True,True,True
NODE_EXHAUSTION ALL,24,-5.1,25.0,0.581967213114754,0,0.0,1333.06,1338.16,5.100000000000136,38.37011884550085,38.64818024263432,0.2780613971334702,3.77871346979614,3.8621294434700775,0.0834159736739375,-14.680000000000518,-12.360000000000355,2.3200000000001637,True,True,True
DEAD_OI covered,91,160.17000000000002,35.16483516483517,4.679531357684356,6,174.99,1254.6799999999998,1094.51,-160.16999999999985,38.38193791157102,38.68312757201646,0.3011896604454378,3.8689547938627573,3.7793550025393596,-0.08959979132339768,-14.680000000000518,-15.000000000000455,-0.31999999999993634,False,False,False
RETAIL_CHASE covered,113,120.94999999999999,38.05309734513274,3.5166458593424883,7,124.35,1254.6799999999998,1133.73,-120.94999999999982,38.38193791157102,38.421052631578945,0.039114720007923154,3.8689547938627573,3.9124515118041465,0.04349671794138921,-14.680000000000518,-9.52000000000021,5.160000000000309,False,True,False
DEAD_OI ∪ RETAIL_CHASE covered,200,211.11,36.0,3.31328073635766,12,229.33999999999997,1254.6799999999998,1043.57,-211.1099999999999,38.38193791157102,38.93395133256084,0.552013420989816,3.8689547938627573,4.015488196029704,0.14653340216694666,-14.680000000000518,-9.52000000000021,5.160000000000309,False,True,False
