timeframe,checkpoint_bars,current_max,mfe_max,taker_against,actions,delta_r,baseline_r_acted,tail_actions,max_forgone_winner
15M,8,0.25,0.5,False,42,-4.647693448956973,-4.3500000000000005,1,8.59
15M,8,0.25,0.5,True,25,-7.073873414081715,0.7199999999999995,1,8.59
15M,8,0.25,1.0,False,58,-11.280730876690953,1.5099999999999998,2,8.59
15M,8,0.25,1.0,True,29,-7.842628140714799,0.9999999999999991,1,8.59
1H,2,-0.5,0.25,False,4,-3.584254500625189,1.2199999999999998,0,4.12
1H,2,-0.5,0.25,True,3,-4.080122269220219,2.2199999999999998,0,4.12
1H,2,-0.5,0.5,False,7,-4.032810056180766,-0.37999999999999967,0,4.12
1H,2,-0.5,0.5,True,6,-4.528677824775796,0.6200000000000003,0,4.12
1H,2,-0.5,1.0,False,7,-4.032810056180766,-0.37999999999999967,0,4.12
1H,2,-0.5,1.0,True,6,-4.528677824775796,0.6200000000000003,0,4.12
1H,2,-0.25,0.25,False,22,-21.583544893329012,12.73,1,10.38
1H,2,-0.25,0.25,True,17,-9.58816926494245,2.6500000000000004,0,4.12
1H,2,-0.25,0.5,False,39,-26.22714080152687,10.52,1,10.38
1H,2,-0.25,0.5,True,30,-12.805780739730798,0.37000000000000066,0,4.12
1H,2,-0.25,1.0,False,40,-25.57705207038223,9.570000000000002,1,10.38
1H,2,-0.25,1.0,True,31,-12.155692008586156,-0.5799999999999993,0,4.12
1H,2,0.0,0.25,False,66,-26.618093560483874,15.510000000000002,2,10.38
1H,2,0.0,0.25,True,48,-13.841227807310762,4.96,1,7.24
1H,2,0.0,0.5,False,111,-26.82379292129354,6.880000000000004,2,10.38
1H,2,0.0,0.5,True,79,-15.291243888387429,-0.30999999999999994,1,7.24
1H,2,0.0,1.0,False,124,-29.178101790080643,8.369999999999997,3,10.38
1H,2,0.0,1.0,True,88,-21.16029984905258,5.02,2,7.24
1H,2,0.25,0.25,False,77,-28.688754000301603,18.770000000000003,2,10.38
1H,2,0.25,0.25,True,55,-12.769306295772267,4.620000000000001,1,7.24
1H,2,0.25,0.5,False,137,-34.81416610084945,17.91,3,10.38
1H,2,0.25,0.5,True,96,-20.271496566384947,6.750000000000003,2,7.24
1H,2,0.25,1.0,False,160,-32.890531746946465,16.380000000000003,4,10.38
1H,2,0.25,1.0,True,108,-26.89814657862808,13.349999999999996,3,7.24
1H,4,-0.5,0.25,False,2,-2.6044894155118405,1.4000000000000001,0,1.36
1H,4,-0.5,0.25,True,2,-2.6044894155118405,1.4000000000000001,0,1.36
1H,4,-0.5,0.5,False,5,-1.5581882918389,-1.44,0,1.36
1H,4,-0.5,0.5,True,5,-1.5581882918389,-1.44,0,1.36
1H,4,-0.5,1.0,False,6,-1.1417343911296736,-2.36,0,1.36
1H,4,-0.5,1.0,True,6,-1.1417343911296736,-2.36,0,1.36
1H,4,-0.25,0.25,False,12,-5.32047758231469,0.2200000000000002,0,3.26
1H,4,-0.25,0.25,True,10,-3.5360582825921107,-0.9800000000000002,0,3.26
1H,4,-0.25,0.5,False,24,-1.410697057129365,-8.55,0,3.26
1H,4,-0.25,0.5,True,20,1.4359912346826806,-10.049999999999999,0,3.26
1H,4,-0.25,1.0,False,32,1.244490338821504,-14.06,0,3.26
1H,4,-0.25,1.0,True,26,2.8667443443328393,-13.69,0,3.26
1H,4,0.0,0.25,False,29,-11.712403140177557,5.3100000000000005,0,3.26
1H,4,0.0,0.25,True,22,-9.299255248709539,3.8200000000000007,0,3.26
1H,4,0.0,0.5,False,59,-10.862249614765382,-3.23,1,7.07
1H,4,0.0,0.5,True,44,-9.118530539199778,-2.3199999999999994,1,7.07
1H,4,0.0,1.0,False,72,-8.861854517863687,-8.459999999999997,1,7.07
1H,4,0.0,1.0,True,53,-6.387000864778302,-7.4700000000000015,1,7.07
1H,4,0.25,0.25,False,31,-9.831648954411655,3.6400000000000006,0,3.26
1H,4,0.25,0.25,True,23,-8.193924791757198,2.9000000000000004,0,3.26
1H,4,0.25,0.5,False,79,-5.875189734871222,-5.609999999999999,1,7.07
1H,4,0.25,0.5,True,54,-6.839350414158057,-3.29,1,7.07
1H,4,0.25,1.0,False,112,-19.588820982737445,7.150000000000002,2,18.39
1H,4,0.25,1.0,True,74,-5.443327484477575,-6.14,1,7.07
1H,8,-0.5,0.25,False,5,-7.7142837266952355,4.590000000000001,0,3.26
1H,8,-0.5,0.25,True,4,-7.97880427464044,5.5600000000000005,0,3.26
1H,8,-0.5,0.5,False,12,-8.450759882621206,1.0700000000000003,0,3.26
1H,8,-0.5,0.5,True,11,-8.71528043056641,2.04,0,3.26
1H,8,-0.5,1.0,False,13,-11.566315438176757,3.57,0,3.26
1H,8,-0.5,1.0,True,12,-11.830835986121963,4.54,0,3.26
1H,8,-0.25,0.25,False,8,-7.026888403627781,2.91,0,3.26
1H,8,-0.25,0.25,True,7,-7.291408951572986,3.880000000000001,0,3.26
1H,8,-0.25,0.5,False,17,-14.86765051993721,5.839999999999999,1,7.07
1H,8,-0.25,0.5,True,16,-15.132171067882416,6.8100000000000005,1,7.07
1H,8,-0.25,1.0,False,21,-17.33546036502979,6.61,1,7.07
1H,8,-0.25,1.0,True,19,-18.1028885750575,8.55,1,7.07
1H,8,0.0,0.25,False,11,-7.3060134825810366,2.85,0,3.26
1H,8,0.0,0.25,True,9,-7.726345118821928,4.0600000000000005,0,3.26
1H,8,0.0,0.5,False,29,-15.730625257325249,5.320000000000001,1,7.07
1H,8,0.0,0.5,True,24,-17.182695043778505,7.730000000000001,1,7.07
1H,8,0.0,1.0,False,41,-17.461665368519512,4.449999999999999,1,7.07
1H,8,0.0,1.0,True,29,-18.346198294212314,7.580000000000001,1,7.07
1H,8,0.25,0.25,False,12,-6.557199298837084,2.1500000000000004,0,3.26
1H,8,0.25,0.25,True,9,-7.726345118821928,4.0600000000000005,0,3.26
1H,8,0.25,0.5,False,34,-16.152663416317537,6.130000000000001,1,7.07
1H,8,0.25,0.5,True,27,-17.289823662791022,8.1,1,7.07
1H,8,0.25,1.0,False,53,-39.219847036289714,27.519999999999996,2,18.39
1H,8,0.25,1.0,True,37,-22.374199584199285,12.739999999999997,1,7.07
